pfaf_id,2024040700,2024040706,2024040712,2024040718,2024040800,2024040806,2024040812,2024040818,2024040900,2024040906,2024040912,2024040918,2024041000,2024041006,2024041012,2024041018,2024041100,2024041106,2024041112,2024041118,2024041200,2024041206,2024041212,2024041218,2024041300,2024041306,2024041312,2024041318
732900,0.120,0.134,0.134,0.134,0.134,0.134,0.133,0.133,0.133,0.133,0.100,0.100,0.100,0.075,0.075,0.075,0.075,0.075,0.317,0.317,0.079,0.244,0.010,0.010,0.010,0.029,0.029,0.029
741002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.076,0.001,0.145,0.181,0.152,0.000,0.019,0.006,0.002,0.000,0.000,0.000,0.000
741003,0.079,0.095,0.095,0.095,0.095,0.095,0.092,0.092,0.092,0.092,0.062,0.062,0.062,0.044,0.044,0.221,0.044,0.343,0.395,0.353,0.009,0.230,0.146,0.095,0.007,0.100,0.100,0.100
741004,0.086,0.132,0.132,0.132,0.132,0.132,0.109,0.109,0.109,0.109,0.068,0.068,0.068,0.030,0.030,0.360,0.030,0.492,0.463,0.365,0.012,0.159,0.181,0.169,0.015,0.176,0.176,0.176
741005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
741006,0.046,0.063,0.063,0.063,0.063,0.066,0.066,0.066,0.066,0.010,0.005,0.005,0.005,0.105,0.105,0.177,0.105,0.311,0.193,0.149,0.072,0.098,0.112,0.081,0.109,0.020,0.020,0.020
741007,0.829,0.828,0.828,0.725,0.725,0.725,0.735,0.735,0.735,0.735,0.724,0.724,0.724,0.723,0.723,0.723,0.723,0.723,0.024,0.024,0.024,0.829,0.829,0.829,0.829,0.830,0.830,0.830
741008,0.326,0.417,0.417,0.417,0.417,0.417,0.417,0.417,0.416,0.417,0.417,0.417,0.417,0.417,0.417,0.812,0.416,0.857,0.833,0.792,0.416,0.729,0.668,0.636,0.623,0.675,0.675,0.675
741009,0.945,0.943,0.943,0.943,0.943,0.943,0.917,0.917,0.917,0.917,0.902,0.902,0.902,0.894,0.894,0.894,0.894,0.894,0.863,0.863,0.863,0.901,0.901,0.901,0.901,0.950,0.950,0.950
742100,0.901,0.885,0.885,0.885,0.885,0.885,0.862,0.862,0.862,0.862,0.836,0.836,0.836,0.755,0.755,0.755,0.755,0.755,0.547,0.547,0.547,0.819,0.819,0.819,0.819,0.919,0.919,0.919
742210,0.720,0.716,0.716,0.716,0.716,0.716,0.670,0.670,0.670,0.670,0.583,0.583,0.583,0.501,0.501,0.501,0.844,0.641,0.812,0.848,0.850,0.852,0.854,0.855,0.857,0.859,0.861,0.862
742221,0.409,0.249,0.249,0.249,0.249,0.249,0.249,0.249,0.249,0.249,0.198,0.198,0.198,0.128,0.128,0.128,0.770,0.128,0.497,0.502,0.770,0.710,0.770,0.770,0.770,0.770,0.770,0.770
742222,0.279,0.253,0.253,0.253,0.253,0.242,0.242,0.242,0.242,0.321,0.321,0.321,0.129,0.164,0.234,0.296,0.254,0.302,0.279,0.254,0.255,0.242,0.289,0.303,0.308,0.351,0.352,0.354
742223,0.064,0.122,0.122,0.122,0.122,0.122,0.091,0.091,0.091,0.091,0.068,0.068,0.068,0.028,0.028,0.028,0.672,0.113,0.349,0.468,0.677,0.679,0.682,0.685,0.688,0.691,0.693,0.696
742224,0.238,0.237,0.237,0.237,0.237,0.164,0.164,0.164,0.164,0.279,0.279,0.279,0.147,0.122,0.152,0.265,0.276,0.290,0.227,0.227,0.227,0.499,0.499,0.499,0.499,0.486,0.486,0.486
742225,0.048,0.053,0.053,0.053,0.053,0.053,0.040,0.040,0.040,0.040,0.023,0.023,0.023,0.010,0.010,0.115,0.462,0.062,0.187,0.305,0.467,0.431,0.481,0.484,0.446,0.491,0.494,0.497
742226,0.179,0.214,0.214,0.214,0.214,0.027,0.018,0.018,0.018,0.018,0.010,0.010,0.010,0.199,0.244,0.311,0.293,0.318,0.547,0.547,0.547,0.593,0.593,0.593,0.593,0.585,0.585,0.585
742227,0.413,0.396,0.396,0.396,0.396,0.374,0.293,0.293,0.293,0.293,0.246,0.246,0.246,0.195,0.195,0.195,0.195,0.195,0.286,0.286,0.286,0.543,0.543,0.543,0.543,0.582,0.582,0.582
742228,0.005,0.007,0.007,0.007,0.007,0.007,0.004,0.004,0.004,0.004,0.001,0.001,0.049,0.092,0.119,0.155,0.062,0.170,0.140,0.147,0.035,0.189,0.007,0.007,0.007,0.014,0.014,0.014
742229,0.060,0.126,0.126,0.126,0.126,0.077,0.065,0.065,0.065,0.065,0.038,0.038,0.038,0.025,0.025,0.025,0.025,0.025,0.009,0.009,0.009,0.044,0.044,0.044,0.044,0.075,0.075,0.075
742231,0.114,0.487,0.478,0.464,0.435,0.390,0.356,0.306,0.138,0.240,0.104,0.104,0.104,0.089,0.420,0.555,0.562,0.654,0.647,0.646,0.576,0.594,0.598,0.598,0.589,0.593,0.596,0.599
742232,0.296,0.130,0.126,0.122,0.118,0.117,0.303,0.303,0.303,0.169,0.358,0.358,0.289,0.309,0.326,0.328,0.245,0.302,0.256,0.230,0.192,0.216,0.299,0.299,0.241,0.300,0.300,0.298
742233,0.172,0.175,0.167,0.159,0.148,0.141,0.056,0.178,0.178,0.132,0.136,0.322,0.254,0.339,0.359,0.376,0.343,0.383,0.332,0.308,0.295,0.310,0.304,0.306,0.307,0.310,0.312,0.313
742234,0.133,0.130,0.122,0.115,0.108,0.089,0.084,0.096,0.096,0.101,0.132,0.131,0.258,0.273,0.278,0.280,0.256,0.281,0.289,0.286,0.273,0.284,0.334,0.334,0.329,0.332,0.333,0.334
742235,0.504,0.471,0.471,0.471,0.471,0.471,0.433,0.433,0.433,0.433,0.313,0.313,0.313,0.261,0.261,0.261,0.261,0.261,0.477,0.479,0.481,0.484,0.407,0.407,0.407,0.525,0.525,0.525
742236,0.142,0.092,0.092,0.092,0.092,0.092,0.167,0.167,0.167,0.117,0.182,0.202,0.294,0.342,0.342,0.340,0.166,0.319,0.399,0.386,0.243,0.352,0.311,0.299,0.212,0.274,0.270,0.267
742237,0.537,0.574,0.564,0.554,0.547,0.478,0.413,0.413,0.413,0.413,0.304,0.304,0.304,0.245,0.245,0.245,0.245,0.245,0.724,0.725,0.715,0.787,0.787,0.787,0.787,0.790,0.790,0.790
742238,0.257,0.214,0.213,0.211,0.210,0.196,0.194,0.197,0.176,0.353,0.421,0.445,0.449,0.451,0.445,0.438,0.315,0.445,0.391,0.380,0.324,0.371,0.405,0.402,0.318,0.397,0.382,0.368
742239,0.151,0.175,0.169,0.165,0.151,0.151,0.151,0.151,0.150,0.227,0.251,0.267,0.372,0.402,0.411,0.419,0.407,0.444,0.446,0.452,0.409,0.465,0.464,0.456,0.413,0.448,0.444,0.437
742301,0.160,0.181,0.181,0.181,0.181,0.181,0.138,0.138,0.138,0.138,0.086,0.086,0.086,0.058,0.058,0.121,0.269,0.187,0.158,0.213,0.284,0.281,0.291,0.295,0.299,0.302,0.306,0.309
742302,0.153,0.001,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.152,0.000,0.039,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.001
742303,0.214,0.246,0.246,0.246,0.246,0.246,0.202,0.202,0.202,0.202,0.124,0.124,0.124,0.071,0.071,0.071,0.071,0.071,0.134,0.134,0.134,0.228,0.228,0.228,0.228,0.377,0.377,0.377
742304,0.129,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.152,0.152,0.067,0.050,0.137,0.178,0.170,0.132,0.153,0.012,0.002,0.000,0.001,0.000,0.000
742305,0.311,0.292,0.292,0.292,0.292,0.292,0.245,0.245,0.245,0.245,0.195,0.195,0.195,0.113,0.113,0.113,0.113,0.137,0.136,0.134,0.109,0.274,0.274,0.274,0.274,0.372,0.372,0.372
742306,0.099,0.104,0.104,0.104,0.104,0.048,0.048,0.048,0.048,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.036,0.036,0.036,0.036,0.102,0.102,0.102
742307,0.101,0.075,0.075,0.075,0.075,0.075,0.069,0.069,0.069,0.069,0.045,0.045,0.045,0.019,0.019,0.019,0.019,0.019,0.001,0.001,0.001,0.178,0.178,0.178,0.178,0.270,0.270,0.270
742308,0.174,0.189,0.189,0.189,0.189,0.051,0.045,0.045,0.045,0.045,0.033,0.033,0.033,0.020,0.020,0.020,0.020,0.020,0.009,0.009,0.009,0.453,0.453,0.453,0.453,0.492,0.492,0.492
742309,0.537,0.478,0.478,0.478,0.478,0.478,0.461,0.461,0.461,0.461,0.367,0.367,0.367,0.375,0.382,0.418,0.404,0.418,0.172,0.172,0.172,0.570,0.570,0.570,0.570,0.617,0.617,0.617
743001,0.950,0.945,0.945,0.945,0.945,0.945,0.915,0.915,0.915,0.915,0.902,0.902,0.902,0.902,0.902,0.902,0.902,0.902,0.873,0.873,0.873,0.947,0.947,0.947,0.947,0.950,0.950,0.950
